"v1","v2","v3","v4","v5","v7_1","v7_2","v7_3","v7_4","v7_5","v7_6","v7_7","v7_8","v8","v9_1","v9_2","v10_1","v10_2","v10_3","v10_4","v10_5","v10_6","v10_7","v10_8","v10_9","v10_10","v10_11","v10_12","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22_1","v22_2","v22_3","v22_4","v22_5","v22_6","v23","v24","v25","v28","v29","v31","v32","v33","v35","v36","v37","v38","v9_3"
3,1,1,1,1,1,0,0,0,0,0,0,0,1350,1,30,0,0,1,1,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,3,0,1,6,0,5,5,1,1,2,90
4,1,2,1,1,1,0,1,0,1,1,1,1,500,2,0,1,1,1,1,0,0,0,0,0,1,0,0,3,2,2,3,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,2,1,1,4,0,9,9,0,1,3,120
7,1,1,1,1,1,0,0,0,0,0,0,0,899,3,0,1,1,1,1,0,0,0,0,1,0,0,0,2,3,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,1,1,5,0,5,5,1,2,2,180
8,1,1,1,1,0,1,1,1,0,0,1,0,299,0,15,1,1,1,0,1,0,0,0,1,1,0,0,3,NA,3,0,1,0,0,0,1,NA,0,0,1,0,0,1,0,4,0,NA,1,1,6,0,16,16,1,2,1,15
2,1,1,1,1,1,0,0,0,0,0,0,1,NA,2,0,1,1,1,1,1,0,0,0,1,0,0,0,3,3,3,3,3,0,0,0,2,0,0,0,1,0,0,1,0,3,1,3,1,1,4,0,13,13,1,2,3,120
7,1,1,1,1,0,0,1,0,1,0,1,0,0,2,0,1,1,1,1,0,0,1,0,1,0,0,0,2,3,1,2,0,0,2,0,1,0,0,0,1,0,1,0,0,3,0,2,1,1,5,0,2,2,1,1,4,120
3,1,1,1,1,1,0,1,0,1,0,1,0,NA,2,30,1,1,1,1,0,0,0,0,1,1,0,0,3,3,3,2,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,3,1,1,6,0,15,15,0,2,3,150
7,1,1,1,1,0,1,1,0,0,0,0,0,200,NA,NA,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,NA,0,1,NA,3,0,0,0,0,0,0,1,0,3,0,3,1,1,4,0,7,7,1,2,1,NA
4,1,2,1,1,1,0,0,1,1,0,1,1,1000,1,30,1,1,1,1,1,1,1,1,1,1,0,0,3,3,3,3,2,2,2,2,1,1,0,0,1,0,0,1,0,3,0,2,0,1,6,0,2,2,1,1,2,90
8,1,1,1,1,1,0,0,0,0,0,0,0,188,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,2,2,1,1,4,5
7,1,1,1,1,0,1,1,0,0,0,0,1,199,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,2,0,14,14,1,2,2,5
8,1,1,1,1,1,0,0,0,0,0,0,0,499,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,2,2,1,2,2,10
6,1,1,1,1,0,0,1,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,4,0,1,1,1,1,2,10
7,2,1,1,1,1,0,0,0,0,0,0,0,800,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,2,1,0,4,0,15,15,1,1,2,15
5,1,1,1,1,1,0,0,0,0,0,0,0,700,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,16,16,1,2,2,15
8,1,1,1,1,1,0,0,0,0,0,0,0,NA,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,5,5,1,1,8,15
4,2,1,1,1,0,1,0,0,0,0,0,0,850,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,4,0,16,16,1,1,4,30
6,1,1,1,1,1,0,0,0,0,0,0,0,450,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,1,0,5,0,8,8,1,1,3,30
5,1,1,1,1,1,0,1,0,1,0,0,0,1000,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,4,0,17,17,1,1,2,30
7,1,1,1,1,1,0,0,0,0,0,0,0,299,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,4,4,0,2,2,60
3,1,1,1,1,1,0,1,0,0,0,0,0,700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,0,1,4,0,9,10,1,1,3,60
5,1,1,1,1,1,0,1,0,1,0,0,0,250,2,30,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,1,1,4,0,15,15,1,1,3,150
6,1,1,1,1,1,0,0,0,0,0,0,0,1000,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,3,1,1,5,0,2,2,1,1,3,180
8,1,1,1,1,0,1,0,0,0,0,0,0,500,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,3,0,2,2,1,1,8,NA
